"number";"r IL_meas";"i IL_meas"
354;0.58129;0
355;0.647373;0
356;0.651859;0
357;0.543777;0
358;0.496883;0
359;0.581352;0
360;0.639156;0
361;0.541214;0
362;0.716699;0
363;0.473065;0
364;0.509335;0
365;0.520395;0
366;0.45041;0
367;0.612973;0
368;0.528429;0
369;0.556609;0
370;0.53813;0
371;0.58859;0
372;0.520655;0
373;0.493198;0
374;0.552224;0
375;0.576722;0
376;0.60392;0
377;0.47038;0
378;0.601229;0
379;0.534732;0
380;0.590598;0
381;0.556448;0
382;0.516573;0
383;0.613718;0
384;0.440882;0
385;0.666137;0
386;0.502054;0
387;0.57737;0
388;0.621413;0
389;0.616677;0
390;0.648972;0
391;0.493104;0
392;0.596577;0
393;0.555662;0
394;0.539171;0
395;0.606675;0
396;0.534823;0
397;0.56857;0
398;0.604371;0
399;0.585266;0
400;0.496864;0
401;0.626226;0
402;0.574696;0
403;0.573194;0
404;0.528771;0
405;0.655308;0
406;0.625542;0
407;0.699338;0
408;0.803102;0
409;0.628961;0
410;0.559201;0
411;0.529744;0
412;0.506447;0
413;0.560179;0
414;0.54744;0
415;0.556085;0
416;0.626796;0
417;0.535153;0
418;0.527665;0
419;0.464505;0
420;0.562183;0
421;0.536434;0
422;0.516444;0
423;0.695871;0
424;0.491633;0
425;0.591539;0
426;0.542442;0
427;0.516077;0
428;0.617356;0
429;0.564337;0
430;0.622772;0
431;0.445471;0
432;0.617258;0
433;0.444832;0
434;0.608578;0
435;0.61581;0
436;0.600645;0
437;0.583383;0
438;0.688021;0
439;0.598716;0
440;0.454665;0
441;0.721461;0
442;0.7494;0
443;0.642646;0
444;0.613673;0
445;0.530418;0
446;0.573833;0
447;0.470635;0
448;0.506176;0
449;0.482134;0
450;0.569068;0
451;0.544022;0
452;0.662737;0
453;0.552703;0
454;0.615714;0
455;0.676153;0
456;0.85495;0
457;0.494859;0
458;0.719161;0
459;0.534512;0
460;0.684569;0
461;0.576826;0
462;0.6366;0
463;0.47446;0
464;0.510494;0
465;0.867605;0
466;0.479807;0
467;0.562725;0
468;0.570468;0
469;0.478439;0
470;0.654051;0
471;0.586706;0
472;0.532143;0
473;0.573206;0
474;0.50939;0
475;0.581957;0
476;0.465141;0
477;0.463285;0
478;0.492766;0
479;0.764729;0
480;0.601383;0
481;0.465102;0
482;0.682189;0
483;0.546356;0
484;0.510201;0
485;0.522721;0
486;0.547167;0
487;0.56884;0
488;0.619888;0
489;0.540339;0
490;0.567634;0
491;0.514616;0
492;0.533944;0
493;0.566659;0
494;0.593667;0
495;0.672764;0
496;0.431362;0
497;0.569431;0
498;0.568754;0
499;0.636421;0
500;0.695537;0
501;0.512081;0
502;0.574321;0
503;0.616912;0
504;0.572402;0
505;0.561857;0
506;0.506086;0
