"number";"r IL_meas";"i IL_meas"
354;1.36366;0
355;1.26162;0
356;1.17902;0
357;1.35451;0
358;1.11344;0
359;1.26551;0
360;1.2689;0
361;1.25499;0
362;1.05622;0
363;1.26065;0
364;1.32659;0
365;1.22365;0
366;1.20487;0
367;1.12899;0
368;1.58472;0
369;1.18038;0
370;1.34569;0
371;1.17962;0
372;1.2936;0
373;1.05871;0
374;1.31701;0
375;1.14112;0
376;1.1732;0
377;1.29324;0
378;1.22207;0
379;1.37079;0
380;1.25508;0
381;1.34685;0
382;1.1166;0
383;1.12634;0
384;1.29627;0
385;1.24636;0
386;1.18831;0
387;1.22188;0
388;1.24559;0
389;1.17219;0
390;1.18557;0
391;1.33768;0
392;1.2761;0
393;1.24534;0
394;1.2429;0
395;1.27402;0
396;1.18848;0
397;1.3391;0
398;1.23809;0
399;1.27613;0
400;1.19517;0
401;1.09725;0
402;1.29281;0
403;1.18807;0
404;1.17717;0
405;1.07516;0
406;1.12122;0
407;1.22999;0
408;1.22391;0
409;1.17589;0
410;1.39376;0
411;1.1;0
412;1.1446;0
413;1.08008;0
414;1.21618;0
415;1.08254;0
416;1.10236;0
417;1.17705;0
418;1.25738;0
419;1.17565;0
420;1.35864;0
421;1.2852;0
422;1.23489;0
423;1.31458;0
424;1.24268;0
425;1.21516;0
426;1.10978;0
427;1.17369;0
428;1.26981;0
429;1.31156;0
430;1.18802;0
431;1.22839;0
432;1.08421;0
433;1.16438;0
434;1.10739;0
435;1.22796;0
436;1.24673;0
437;1.18139;0
438;1.09037;0
439;1.22808;0
440;1.13384;0
441;1.28535;0
442;1.33632;0
443;1.1192;0
444;1.08658;0
445;1.13627;0
446;1.34848;0
447;1.24074;0
448;1.17979;0
449;1.08355;0
450;1.27323;0
451;1.19646;0
452;1.28435;0
453;1.18864;0
454;1.05706;0
455;0.988702;0
456;1.24698;0
457;1.38491;0
458;1.28946;0
459;1.24397;0
460;1.16639;0
461;1.03259;0
462;1.12888;0
463;1.22938;0
464;1.23362;0
465;1.06939;0
466;1.22007;0
467;1.24698;0
468;1.46071;0
469;1.17502;0
470;1.03549;0
471;1.20615;0
472;1.07358;0
473;1.24633;0
474;1.12158;0
475;1.37129;0
476;1.25587;0
477;1.22352;0
478;1.16253;0
479;1.11168;0
480;1.15675;0
481;1.18523;0
482;1.27754;0
483;1.20637;0
484;1.16088;0
485;1.11319;0
486;1.03009;0
487;1.16006;0
488;1.17024;0
489;1.30006;0
490;1.40945;0
491;1.20696;0
492;1.29927;0
493;1.20681;0
494;1.41326;0
495;1.25414;0
496;1.20221;0
497;1.13798;0
498;1.18029;0
499;1.30387;0
500;1.23653;0
501;1.11713;0
502;1.25937;0
503;1.10174;0
504;1.2232;0
505;1.25906;0
506;1.33301;0
507;1.2067;0
508;1.30596;0
509;1.18963;0
510;1.12538;0
511;1.18755;0
512;1.21118;0
513;1.16699;0
514;1.28187;0
515;1.17199;0
516;1.19539;0
517;1.29227;0
518;1.2828;0
519;1.20988;0
520;1.25536;0
521;1.18056;0
522;1.19413;0
523;1.20091;0
524;1.04605;0
525;1.15229;0
526;1.20677;0
527;1.07446;0
528;1.31247;0
529;1.12775;0
530;1.13152;0
531;1.12381;0
532;1.36497;0
533;1.25901;0
534;1.09094;0
535;1.31254;0
536;1.16377;0
537;1.40756;0
538;1.21051;0
539;1.22075;0
540;1.15133;0
541;1.19363;0
542;1.28454;0
543;1.03571;0
544;1.11389;0
545;1.1743;0
546;1.07149;0
547;1.0135;0
548;1.20433;0
549;1.19716;0
550;1.22317;0
551;1.25748;0
552;1.28706;0
553;1.22579;0
554;1.07947;0
555;1.19611;0
556;1.13474;0
557;1.18785;0
558;1.35745;0
559;1.14619;0
560;1.25713;0
561;1.10534;0
562;1.15663;0
563;1.20571;0
564;1.40563;0
565;1.28077;0
566;1.19092;0
567;1.04824;0
568;1.24677;0
569;1.21483;0
570;1.20157;0
571;1.29361;0
572;1.35192;0
573;1.26653;0
574;1.15995;0
575;1.26362;0
576;1.05266;0
577;1.24594;0
578;1.12738;0
579;1.18948;0
580;1.23258;0
581;1.20529;0
582;1.08407;0
583;1.14504;0
584;1.32424;0
585;1.18469;0
586;1.22269;0
587;1.20663;0
588;1.15963;0
589;1.27567;0
590;1.26817;0
591;1.24222;0
592;1.02703;0
593;1.32459;0
594;1.26478;0
595;1.16572;0
596;1.15474;0
597;1.15479;0
598;1.40737;0
599;1.28608;0
600;1.17961;0
601;1.1822;0
602;1.22263;0
603;1.18403;0
604;1.25992;0
605;1.30564;0
606;1.29848;0
607;1.17247;0
608;1.15067;0
609;1.20841;0
610;1.16211;0
611;1.18659;0
612;1.36942;0
613;1.13032;0
614;1.0752;0
615;1.09757;0
616;1.18803;0
617;1.18571;0
618;1.30672;0
619;1.17054;0
620;1.13297;0
621;1.40619;0
622;1.15213;0
623;1.12973;0
624;1.0426;0
625;1.05125;0
626;1.1268;0
627;1.22602;0
628;1.22162;0
629;1.08599;0
630;1.19543;0
631;1.07337;0
632;1.30775;0
633;1.25864;0
634;1.16265;0
635;1.19361;0
636;1.3314;0
637;1.11176;0
638;1.10515;0
639;1.39;0
640;1.24387;0
641;1.20767;0
642;1.33086;0
643;1.06016;0
644;1.07514;0
645;1.25939;0
646;1.07996;0
647;1.33462;0
648;1.27901;0
649;1.47643;0
650;1.23226;0
651;1.19145;0
652;1.10788;0
653;1.14549;0
654;1.14888;0
655;1.20058;0
656;1.2997;0
657;1.18707;0
658;1.2221;0
659;1.06949;0
660;1.31032;0
661;1.09595;0
662;1.30173;0
663;1.17216;0
664;1.18314;0
665;1.1279;0
666;1.23773;0
667;1.15964;0
668;1.35059;0
669;1.15362;0
670;1.36945;0
671;1.24313;0
672;1.20454;0
673;1.14878;0
674;1.31113;0
675;1.14635;0
676;1.14666;0
677;1.15411;0
678;1.15213;0
679;1.20423;0
680;1.39283;0
681;1.21783;0
682;1.34597;0
683;1.04268;0
684;1.27489;0
685;1.15014;0
686;1.30464;0
687;1.12267;0
688;1.09422;0
689;1.21065;0
690;1.2049;0
691;1.28972;0
692;1.38596;0
693;1.13952;0
694;1.29449;0
695;1.13974;0
696;1.24201;0
697;1.38197;0
698;1.18089;0
699;1.18386;0
700;1.1969;0
701;1.2502;0
702;1.29592;0
703;1.17573;0
704;1.3602;0
705;1.11523;0
706;1.09984;0
707;1.15422;0
708;1.31788;0
709;1.26799;0
710;1.25611;0
711;1.263;0
712;1.06097;0
713;1.22304;0
714;1.19876;0
715;1.13369;0
716;1.20326;0
717;1.06841;0
718;1.26994;0
719;1.2509;0
720;1.32257;0
721;1.23841;0
722;1.06493;0
723;1.11702;0
724;1.15022;0
725;1.11892;0
726;1.12282;0
727;1.23898;0
728;1.2495;0
729;1.12664;0
730;1.18458;0
731;1.14417;0
732;1.14631;0
733;1.05966;0
734;1.27778;0
735;1.14688;0
736;1.27516;0
737;1.23473;0
738;1.2866;0
739;1.09984;0
740;1.22945;0
741;1.14794;0
742;1.17282;0
743;1.0377;0
744;1.38991;0
745;1.16732;0
746;1.34179;0
747;1.24246;0
748;1.14736;0
749;1.06118;0
750;1.17846;0
751;1.27658;0
752;1.16774;0
753;1.17902;0
754;1.12608;0
755;1.1212;0
756;1.25915;0
757;1.16953;0
758;1.15528;0
759;1.37995;0
760;1.25321;0
761;1.2775;0
762;1.07704;0
763;1.40547;0
764;1.26758;0
765;1.13754;0
766;1.39715;0
767;1.19075;0
768;1.18304;0
769;1.29725;0
770;1.34435;0
771;1.14946;0
772;1.35972;0
773;1.34764;0
774;1.26343;0
775;1.38934;0
776;1.14812;0
777;1.17984;0
778;1.10523;0
779;1.23298;0
780;1.28727;0
781;1.06604;0
782;1.08605;0
783;1.14729;0
784;1.07892;0
785;1.29815;0
786;1.20692;0
787;1.2991;0
788;1.14332;0
789;1.29293;0
790;1.16306;0
791;1.2326;0
792;1.11116;0
793;1.13929;0
794;1.08103;0
795;1.31927;0
796;1.15856;0
797;1.27545;0
798;1.12515;0
799;1.12816;0
800;1.17797;0
801;1.15611;0
802;1.29318;0
803;1.34102;0
804;1.18876;0
805;1.16627;0
806;1.19277;0
807;1.17265;0
808;1.25917;0
809;1.19853;0
810;1.34142;0
811;1.20156;0
812;1.22488;0
813;1.18162;0
814;1.3623;0
815;1.2599;0
816;1.16941;0
817;1.12301;0
818;1.22272;0
819;1.21084;0
820;1.02043;0
821;1.13792;0
822;1.15837;0
823;1.0152;0
824;1.05639;0
825;1.36408;0
826;1.27724;0
827;1.20315;0
828;1.14089;0
829;1.11706;0
830;1.34331;0
831;1.22243;0
832;1.29208;0
833;1.21858;0
834;1.27274;0
835;1.27465;0
836;1.17656;0
837;1.39791;0
838;1.17786;0
839;1.44823;0
840;1.15242;0
841;1.29338;0
842;1.2141;0
843;1.17791;0
844;1.24676;0
845;1.05269;0
846;1.29358;0
847;1.30122;0
848;1.1528;0
849;1.12731;0
850;1.1931;0
851;1.16178;0
852;1.05032;0
853;1.21178;0
854;1.20297;0
855;1.32075;0
856;1.18359;0
857;1.27788;0
858;1.23658;0
859;1.19402;0
860;1.27579;0
861;1.11147;0
862;1.4604;0
863;1.26704;0
864;1.23031;0
865;1.17533;0
866;1.20253;0
867;1.0085;0
868;1.08956;0
869;1.31651;0
870;1.10573;0
871;1.10997;0
872;1.31279;0
873;1.26017;0
874;1.24515;0
875;1.1583;0
876;1.19046;0
877;1.21879;0
878;1.25764;0
879;1.20998;0
880;1.18535;0
881;1.3128;0
882;1.09508;0
883;1.23524;0
884;1.09929;0
885;1.14176;0
886;1.25096;0
887;1.13226;0
888;1.1639;0
889;1.10796;0
890;1.24285;0
891;1.06612;0
892;1.37868;0
893;1.1793;0
894;1.1333;0
895;1.16627;0
896;1.19259;0
897;1.22102;0
898;1.00691;0
899;1.15061;0
900;1.12563;0
901;1.16402;0
902;1.26401;0
903;1.34442;0
904;1.07556;0
905;1.10703;0
906;1.35788;0
907;1.25729;0
908;1.09234;0
909;1.28316;0
910;1.06768;0
911;1.20077;0
912;1.2777;0
913;1.26679;0
914;1.23938;0
915;1.45888;0
916;1.31852;0
917;1.283;0
918;1.19048;0
919;1.29317;0
920;1.26291;0
921;1.32521;0
922;1.30286;0
923;1.10439;0
924;1.14881;0
925;1.19046;0
926;1.19942;0
927;0.91636;0
928;1.33292;0
929;1.26043;0
930;1.30552;0
931;1.36994;0
932;1.07895;0
933;1.43119;0
934;1.18884;0
935;1.12086;0
936;1.16504;0
937;1.14026;0
938;1.07941;0
939;1.03536;0
940;1.15619;0
941;1.13656;0
942;1.20674;0
943;1.16131;0
944;1.08194;0
945;1.22022;0
946;1.27473;0
947;1.26879;0
948;1.16196;0
949;1.06139;0
950;1.1342;0
951;1.24665;0
952;1.27018;0
953;1.12209;0
954;1.28918;0
955;1.25735;0
956;1.10693;0
957;1.11389;0
958;1.32854;0
959;1.08155;0
960;1.24886;0
961;1.33117;0
962;1.18716;0
963;1.15883;0
964;1.21455;0
965;1.27464;0
966;1.2324;0
967;1.29668;0
968;1.19134;0
969;1.19421;0
970;1.31536;0
971;1.22569;0
972;1.29256;0
973;1.15263;0
974;1.13388;0
975;1.16102;0
976;1.07119;0
977;1.22561;0
978;1.26035;0
979;1.30525;0
980;1.14925;0
981;1.18541;0
982;1.16315;0
983;1.27342;0
984;1.27533;0
985;1.20705;0
986;1.23789;0
987;1.341;0
988;1.40608;0
989;1.11982;0
990;1.1597;0
991;1.06805;0
992;1.14469;0
993;1.06031;0
994;1.28206;0
995;1.33659;0
996;1.26656;0
997;1.17454;0
998;1.30707;0
999;1.28374;0
1000;1.18139;0
1001;1.34743;0
1002;1.2104;0
1003;1.21244;0
1004;1.19038;0
1005;1.20776;0
1006;1.04606;0
1007;1.09602;0
1008;1.26595;0
1009;1.38909;0
1010;1.21399;0
1011;1.01845;0
1012;1.28186;0
1013;1.19732;0
1014;1.09278;0
1015;1.1412;0
1016;1.04493;0
1017;1.28392;0
1018;1.07782;0
1019;1.05315;0
1020;1.19485;0
1021;0.988224;0
1022;1.31155;0
1023;1.34569;0
1024;1.23212;0
1025;1.18979;0
1026;1.10142;0
1027;1.31134;0
1028;1.09374;0
1029;1.15199;0
1030;1.16307;0
1031;1.14657;0
1032;1.1285;0
1033;1.08446;0
1034;1.19954;0
1035;1.23724;0
1036;1.23424;0
1037;1.32155;0
1038;1.20112;0
1039;1.05016;0
1040;1.22682;0
1041;1.34062;0
1042;1.25152;0
1043;1.18156;0
1044;1.21517;0
1045;1.13348;0
1046;1.19417;0
1047;1.19851;0
1048;1.16874;0
1049;1.3203;0
1050;1.24778;0
1051;1.09075;0
1052;1.24901;0
1053;1.34519;0
1054;1.26435;0
1055;1.2836;0
1056;1.29662;0
1057;1.31504;0
1058;1.16625;0
1059;1.2307;0
1060;1.06106;0
1061;1.35121;0
1062;1.15311;0
1063;1.30165;0
1064;1.31208;0
1065;1.32447;0
1066;1.2185;0
1067;1.12559;0
1068;1.05184;0
1069;1.22162;0
1070;1.2388;0
1071;1.3951;0
1072;1.25333;0
1073;1.08971;0
1074;1.12218;0
1075;1.27047;0
1076;1.32828;0
1077;1.22489;0
1078;1.1639;0
1079;1.23642;0
1080;1.24976;0
1081;1.15806;0
1082;1.1123;0
1083;1.17626;0
1084;1.1239;0
1085;1.29332;0
1086;1.13763;0
1087;1.07895;0
1088;1.19204;0
1089;1.33552;0
1090;1.13007;0
1091;1.13746;0
1092;1.20699;0
1093;1.13351;0
1094;1.25137;0
1095;1.02989;0
1096;1.10868;0
1097;1.25008;0
1098;1.15988;0
1099;1.28131;0
1100;1.31044;0
1101;1.07211;0
1102;1.24856;0
1103;1.09957;0
1104;1.12356;0
1105;1.15144;0
1106;1.11011;0
1107;1.16753;0
1108;1.32529;0
1109;0.926322;0
1110;1.19982;0
1111;1.07394;0
1112;1.33281;0
1113;1.39029;0
1114;1.18678;0
1115;1.26728;0
1116;1.32531;0
1117;1.2294;0
1118;1.09676;0
1119;1.28799;0
1120;1.09703;0
1121;1.1522;0
1122;1.30585;0
1123;1.19703;0
1124;1.06261;0
1125;1.15588;0
1126;1.25877;0
1127;1.19449;0
1128;1.13606;0
1129;1.24904;0
1130;1.20078;0
1131;1.15446;0
1132;1.05439;0
1133;1.0859;0
1134;1.27374;0
1135;1.20059;0
1136;1.29249;0
1137;1.4239;0
1138;1.2195;0
1139;1.21932;0
1140;1.21319;0
1141;1.03905;0
1142;1.12309;0
1143;1.30477;0
1144;1.08216;0
1145;1.19277;0
1146;1.10664;0
1147;1.2742;0
