"number";"r IL_meas";"i IL_meas"
354;0.952334;0
355;0.881211;0
356;0.839521;0
357;0.794578;0
358;1.00646;0
359;0.833911;0
360;0.904112;0
361;0.732728;0
362;0.7808;0
363;1.21352;0
364;1.25754;0
365;0.872649;0
366;0.773136;0
367;0.863929;0
368;0.702125;0
369;1.10965;0
370;1.07476;0
371;1.17573;0
372;1.26121;0
373;1.35454;0
374;1.04938;0
375;2.05684;0
376;1.13783;0
377;0.744066;0
378;0.780272;0
379;0.834355;0
380;0.978489;0
381;1.17987;0
382;1.69386;0
383;1.04815;0
384;0.828251;0
385;1.04211;0
386;1.09692;0
387;0.814058;0
388;1.18292;0
389;1.26281;0
390;1.32152;0
391;1.13085;0
392;0.794228;0
393;1.32733;0
394;0.957414;0
395;1.05541;0
396;0.874394;0
397;1.24078;0
398;0.983919;0
399;1.25309;0
400;1.09616;0
401;0.853926;0
402;0.963249;0
403;1.2375;0
404;1.18743;0
405;1.28696;0
406;0.965061;0
407;1.02796;0
408;1.61931;0
409;1.03291;0
410;1.239;0
411;0.877353;0
412;1.20293;0
413;0.806803;0
414;1.83672;0
415;1.02932;0
416;1.25078;0
417;1.01086;0
418;0.812375;0
419;1.03215;0
420;0.884766;0
421;1.02605;0
422;1.22986;0
423;1.31533;0
424;0.851914;0
425;0.926504;0
426;1.12896;0
427;1.39721;0
428;1.45963;0
429;1.04012;0
430;1.07889;0
431;1.08255;0
432;0.665651;0
433;0.655595;0
434;0.709596;0
435;1.2158;0
436;0.942376;0
437;1.38582;0
438;0.713657;0
439;0.901493;0
440;1.42849;0
441;1.39688;0
442;0.848669;0
443;0.918513;0
444;0.895139;0
445;0.967183;0
446;0.748796;0
447;1.07656;0
448;0.792218;0
449;0.948392;0
450;1.06027;0
451;0.951002;0
452;1.42907;0
453;0.787349;0
454;0.831144;0
455;1.32014;0
456;0.837747;0
457;0.816706;0
458;0.912708;0
459;0.547983;0
460;1.31964;0
461;1.28838;0
462;1.11729;0
463;1.26258;0
464;0.793631;0
465;1.35587;0
466;1.2128;0
467;1.44289;0
468;0.777229;0
469;1.40431;0
470;0.91322;0
471;1.39693;0
472;1.01696;0
473;1.01069;0
474;1.28698;0
475;1.24277;0
476;0.696884;0
477;0.90643;0
478;0.963401;0
479;1.44584;0
480;1.23932;0
481;1.92521;0
482;1.29118;0
483;1.23056;0
484;0.990277;0
485;0.947138;0
486;0.909384;0
487;0.872482;0
488;0.956105;0
489;0.869561;0
490;1.07918;0
491;1.29142;0
492;1.05421;0
493;0.914268;0
494;1.12739;0
495;1.13888;0
496;1.35712;0
497;1.12284;0
498;1.27467;0
499;0.948234;0
500;0.905828;0
501;1.54245;0
502;0.831416;0
503;1.15922;0
504;1.21662;0
505;1.22993;0
506;1.48869;0
507;1.20145;0
508;0.673534;0
509;0.898801;0
510;1.09404;0
511;0.998766;0
512;1.81684;0
513;0.872242;0
514;0.89662;0
515;0.993402;0
516;1.13607;0
517;0.923998;0
518;0.828599;0
519;0.69883;0
520;1.55563;0
521;0.942771;0
522;0.779995;0
523;1.56018;0
524;0.583986;0
525;0.678979;0
526;1.17653;0
527;1.01047;0
528;1.19393;0
529;1.32748;0
530;1.09048;0
531;2.07268;0
532;1.11421;0
533;1.42708;0
534;0.795842;0
535;1.48451;0
536;2.77962;0
537;0.95633;0
538;1.20698;0
539;1.05407;0
540;0.973595;0
541;0.96594;0
542;0.84628;0
543;0.686799;0
544;0.649339;0
545;1.28132;0
546;1.37066;0
547;1.27724;0
548;0.664792;0
549;1.08635;0
550;1.44706;0
551;1.39409;0
552;1.08433;0
553;0.960406;0
554;1.07249;0
555;1.01047;0
556;1.26476;0
557;0.776957;0
558;1.14772;0
559;0.987174;0
560;0.926723;0
561;0.907041;0
562;1.09507;0
563;1.24834;0
564;1.00609;0
565;1.11976;0
566;0.815368;0
567;0.829616;0
568;1.27779;0
569;0.885052;0
570;0.781211;0
571;0.783156;0
572;1.47907;0
573;1.1348;0
574;0.604869;0
575;0.951579;0
576;1.48407;0
577;0.951137;0
578;0.98305;0
579;1.00341;0
580;0.992907;0
581;1.18339;0
582;0.987421;0
583;0.942745;0
584;1.42655;0
585;1.0779;0
586;0.811184;0
587;0.900917;0
588;1.0343;0
589;0.858019;0
590;2.02715;0
591;0.730296;0
592;0.830083;0
593;0.740926;0
594;1.16386;0
595;0.728236;0
596;1.44333;0
597;0.690979;0
598;1.18113;0
599;1.25772;0
600;0.881386;0
601;1.16435;0
602;0.898125;0
603;0.64057;0
604;0.972263;0
605;1.28035;0
606;1.03177;0
607;0.909614;0
608;0.955892;0
609;0.932335;0
610;0.932643;0
611;1.34048;0
612;0.890117;0
613;1.02001;0
614;0.952939;0
615;1.30615;0
616;1.1784;0
617;1.57427;0
618;1.43127;0
619;0.80927;0
620;1.25696;0
621;0.961436;0
622;0.795079;0
623;0.817132;0
624;0.719548;0
625;0.863444;0
626;0.934536;0
627;0.878443;0
628;1.4561;0
629;0.858392;0
630;1.12079;0
631;1.30847;0
632;1.10587;0
633;1.12908;0
634;0.914489;0
635;1.23001;0
636;1.07898;0
637;1.05545;0
638;1.09203;0
639;1.23032;0
640;0.624501;0
641;0.79244;0
642;0.948114;0
643;0.804687;0
644;0.955534;0
645;0.753374;0
646;1.50523;0
647;0.871705;0
648;0.922601;0
649;1.58722;0
650;0.930201;0
651;0.718107;0
652;0.996551;0
653;1.02074;0
654;1.32724;0
655;1.58016;0
656;0.57169;0
657;1.00298;0
658;1.01936;0
659;1.03081;0
660;0.999452;0
661;0.96466;0
662;1.00827;0
663;1.06813;0
664;1.37622;0
665;1.041;0
666;1.4408;0
667;1.07076;0
668;1.08069;0
669;1.17589;0
670;1.08847;0
671;0.758353;0
672;1.09756;0
673;0.998858;0
674;0.731282;0
675;1.10984;0
676;1.45002;0
677;1.03825;0
678;0.935762;0
679;1.07269;0
680;1.02179;0
681;1.047;0
682;1.41809;0
683;1.25583;0
684;0.868451;0
685;2.03074;0
686;1.34275;0
687;0.876722;0
688;1.18899;0
689;1.2727;0
690;0.703775;0
691;1.2232;0
692;1.19252;0
693;1.40093;0
694;0.987129;0
695;0.844597;0
696;0.983759;0
697;0.916987;0
698;1.32563;0
699;1.06032;0
700;0.848569;0
701;1.00869;0
702;1.08243;0
703;0.989732;0
704;1.46066;0
705;0.993604;0
706;1.52875;0
707;1.10728;0
708;1.29467;0
709;1.46315;0
710;1.30316;0
711;0.797018;0
712;1.1775;0
713;1.3783;0
714;1.12416;0
715;1.08159;0
716;1.25367;0
717;1.09788;0
718;0.791151;0
719;0.825869;0
720;1.01644;0
721;1.78241;0
722;0.592048;0
723;0.727295;0
724;1.05577;0
725;0.673769;0
726;0.748244;0
727;1.34959;0
728;1.01548;0
729;0.919114;0
730;0.871077;0
731;0.729972;0
732;0.864628;0
733;1.00343;0
734;0.751919;0
735;0.937251;0
736;0.763187;0
737;0.929473;0
738;1.0871;0
739;0.969821;0
740;1.31494;0
741;0.976186;0
742;1.01691;0
743;1.09542;0
744;1.43539;0
745;1.12273;0
746;0.850742;0
747;0.89452;0
748;0.773893;0
749;0.996431;0
750;0.961303;0
751;1.16209;0
752;1.25689;0
753;1.49561;0
754;1.07922;0
755;0.816938;0
756;0.816323;0
757;0.648563;0
758;0.98393;0
759;1.15235;0
760;0.96611;0
761;0.891553;0
762;1.2578;0
763;1.2565;0
764;0.708045;0
765;0.779594;0
766;0.83532;0
767;1.29302;0
768;1.05882;0
769;0.851278;0
770;1.0219;0
771;1.15189;0
772;1.19212;0
773;0.834077;0
774;1.17853;0
775;0.971517;0
776;0.991189;0
777;0.884906;0
778;1.14094;0
779;1.36215;0
780;0.78564;0
781;0.993736;0
782;1.93362;0
783;1.81879;0
784;1.12836;0
785;1.11363;0
786;1.30008;0
787;1.06629;0
788;0.848782;0
789;1.13158;0
790;0.853112;0
791;1.16628;0
792;0.746125;0
793;0.745579;0
794;0.792706;0
795;0.758651;0
796;0.744478;0
797;0.606635;0
798;0.911087;0
799;1.19326;0
800;0.969562;0
801;0.68167;0
802;0.904833;0
803;1.01256;0
804;1.27031;0
805;0.812635;0
806;0.976179;0
807;1.75325;0
808;2.05271;0
809;1.11972;0
810;0.988943;0
811;1.17091;0
812;1.20015;0
813;0.926706;0
814;0.965823;0
815;1.50975;0
816;0.911628;0
817;0.943182;0
818;0.767134;0
819;1.204;0
820;0.76717;0
821;0.785846;0
822;1.08329;0
823;1.36987;0
824;0.657182;0
825;0.97873;0
826;1.52351;0
827;0.977171;0
828;0.664072;0
829;0.648044;0
830;1.54838;0
831;0.745192;0
832;1.19949;0
833;0.897296;0
834;1.21279;0
835;1.15709;0
836;1.04413;0
837;1.07826;0
838;0.761095;0
839;0.795603;0
840;1.02535;0
841;1.00695;0
842;1.29775;0
843;1.98698;0
