"x";"r (yvalue(ic.Ib, fs)/(x*Ut))/gm";"i (yvalue(ic.Ib, fs)/(x*Ut))/gm"
0.044709;0.956868;5.68364e-17
0.0457507;0.956858;6.47994e-17
0.0468166;0.956847;8.14166e-17
0.0479074;0.956835;4.42016e-17
0.0490236;0.956823;6.04733e-17
0.0501657;0.956811;9.28658e-17
0.0513345;0.956797;4.12506e-17
0.0525306;0.956783;7.25606e-17
0.0537544;0.956769;8.6666e-17
0.0550069;0.956754;1.00091e-16
0.0562884;0.956738;6.77164e-17
0.0575999;0.956721;5.88219e-17
0.0589419;0.956704;9.34092e-17
0.0603151;0.956685;3.51086e-17
0.0617204;0.956666;7.54804e-17
0.0631584;0.956646;6.03506e-17
0.0646299;0.956625;3.93177e-17
0.0661357;0.956603;3.84225e-17
0.0676766;0.95658;1.25159e-17
0.0692533;0.956556;3.66928e-17
0.0708669;0.956531;3.58574e-17
0.072518;0.956505;9.34426e-17
0.0742075;0.956477;6.84863e-17
0.0759365;0.956448;8.9236e-17
0.0777057;0.956418;8.72042e-17
0.0795161;0.956386;6.39141e-17
0.0813687;0.956353;5.2049e-17
0.0832645;0.956318;5.0864e-17
0.0852045;0.956282;3.97647e-17
0.0871896;0.956244;6.80039e-17
0.089221;0.956204;6.64555e-17
0.0912997;0.956162;6.49425e-17
0.0934269;0.956118;2.71988e-17
0.0956036;0.956072;6.20189e-17
0.097831;0.956024;9.52393e-17
0.10011;0.955974;5.92269e-17
0.102443;0.955921;9.09518e-17
0.10483;0.955866;7.27209e-17
0.107272;0.955809;5.52729e-17
0.109771;0.955748;3.85817e-17
0.112329;0.955685;5.27846e-17
0.114946;0.955619;5.15828e-17
0.117624;0.95555;5.04084e-17
0.120364;0.955477;4.92606e-17
0.123169;0.955401;-1.91869e-15
0.126038;0.955322;3.36022e-17
0.128975;0.955239;6.56742e-17
0.13198;0.955151;2.56716e-17
0.135055;0.95506;3.76306e-17
0.138201;0.954965;9.80636e-17
0.141421;0.954865;2.39577e-17
0.144716;0.95476;4.68245e-17
0.148088;0.954651;8.00771e-17
0.151538;0.954536;3.35374e-17
0.155069;0.954416;6.55476e-17
0.158682;0.95429;5.33794e-17
0.162379;0.954159;8.34624e-17
0.166162;0.954021;6.11716e-17
0.170033;0.953877;8.96682e-17
0.173995;0.953726;9.7363e-17
0.178049;0.953569;8.56316e-17
0.182197;0.953403;6.50859e-17
0.186442;0.95323;6.3604e-17
0.190786;0.953049;6.21559e-17
0.195231;0.95286;6.07407e-17
0.19978;0.952662;4.23984e-17
0.204434;0.952454;7.45795e-17
0.209197;0.952237;5.66856e-17
0.214071;0.95201;7.12221e-17
0.219059;0.951772;-3.48002e-16
0.224162;0.951523;8.31304e-17
0.229385;0.951263;2.21557e-17
0.23473;0.950991;6.49539e-17
0.240198;0.950706;3.52639e-17
0.245795;0.950407;4.82454e-17
0.251521;0.950095;-2.96352e-16
0.257381;0.949769;5.26554e-17
0.263378;0.949427;3.85924e-17
0.269514;0.94907;7.54275e-17
0.275794;0.948696;6.14251e-17
0.282219;0.948305;6.00266e-17
0.288795;0.947897;7.03918e-17
0.295523;0.947469;2.29297e-17
0.302409;0.947022;2.24076e-17
0.309454;0.946554;7.66411e-17
0.316664;0.946065;6.41967e-17
0.324042;0.945553;6.27351e-17
0.331592;0.945019;9.196e-17
0.339317;0.944459;-7.78841e-16
0.347223;0.943875;8.78202e-17
0.355313;0.943264;5.72138e-17
0.363591;0.942625;8.38667e-17
0.372062;0.941957;8.19572e-17
0.380731;0.94126;6.22932e-17
0.389601;0.940531;1.15662e-15
0.398678;0.939769;5.94888e-17
0.407967;0.938973;4.15246e-17
0.417472;0.938141;7.30424e-17
0.427199;0.937272;7.13794e-17
0.437152;0.936365;2.32514e-17
0.447337;0.935417;6.8166e-17
0.457759;0.934428;2.22047e-17
0.468424;0.933395;6.50973e-17
0.479338;0.932316;2.82734e-17
0.490506;0.93119;6.21668e-17
0.501934;0.930015;6.07514e-17
0.513629;0.928789;6.59646e-18
0.525595;0.927509;5.15702e-17
0.537841;0.926175;5.0396e-17
0.550372;0.924783;4.92486e-17
0.563195;0.923331;7.2191e-17
0.576317;0.921817;4.70315e-17
0.589744;0.920239;9.19214e-17
0.603484;0.918595;7.86e-17
0.617545;0.916881;7.68104e-17
0.631933;0.915096;6.43385e-17
0.646656;0.913237;6.28736e-17
0.661722;0.911301;-4.50575e-16
0.677139;0.909285;-2.30166e-16
0.692915;0.907188;7.82348e-17
0.709059;0.905005;9.55669e-17
0.72558;0.902735;6.53737e-17
0.742485;0.900373;-1.73403e-16
0.759783;0.897919;9.81054e-17
0.777485;0.895368;1.13303e-16
0.7956;0.892717;7.66546e-17
0.814136;0.889964;9.15558e-17
0.833104;0.887106;-3.82286e-16
0.852515;0.88414;7.1537e-17
0.872377;0.881062;6.21407e-17
0.892702;0.877871;5.31351e-17
0.913501;0.874562;2.96716e-17
0.934784;0.871133;6.52411e-17
0.956564;0.867582;4.95878e-17
0.97885;0.863905;3.46134e-17
1.00166;0.8601;3.38253e-17
1.02499;0.856164;7.27214e-17
1.04887;0.852095;7.10656e-17
1.07331;0.84789;4.41939e-17
1.09832;0.843547;3.08484e-17
1.12391;0.839064;4.82336e-17
1.15009;0.834439;2.94596e-17
1.17689;0.82967;5.182e-17
1.20431;0.824756;5.62668e-17
1.23237;0.819695;3.29914e-17
1.26108;0.814486;4.29871e-17
1.29046;0.809128;-3.15062e-17
1.32053;0.80362;4.10519e-17
1.35129;0.797963;6.01758e-17
1.38278;0.792155;3.92038e-17
1.41499;0.786198;6.70446e-17
1.44796;0.780091;3.74389e-17
1.4817;0.773836;-5.12211e-16
1.51622;0.767433;8.04454e-17
